"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1984,1,"All_areas",39152.9042015258,0.197322284303954,7725.74049417897
1985,1,"All_areas",0,NA,NA
1986,1,"All_areas",0,NA,NA
1987,1,"All_areas",79590.1710171448,0.178805350058623,14231.1483899462
1988,1,"All_areas",0,NA,NA
1989,1,"All_areas",0,NA,NA
1990,1,"All_areas",85303.3447985749,0.219144280201677,18693.7400946792
1991,1,"All_areas",0,NA,NA
1992,1,"All_areas",0,NA,NA
1993,1,"All_areas",85283.6534047753,0.20139016841367,17175.2893221208
1994,1,"All_areas",0,NA,NA
1995,1,"All_areas",0,NA,NA
1996,1,"All_areas",131029.307694617,0.212344107808779,27823.3014392156
1997,1,"All_areas",0,NA,NA
1998,1,"All_areas",0,NA,NA
1999,1,"All_areas",84750.6274246476,0.224479925889216,19024.8145633495
2000,1,"All_areas",0,NA,NA
2001,1,"All_areas",129965.693822958,0.236661308591174,30757.8511721011
2002,1,"All_areas",0,NA,NA
2003,1,"All_areas",73774.2524041714,0.217336759919818,16033.8569830295
2004,1,"All_areas",0,NA,NA
2005,1,"All_areas",160773.495338533,0.203971824787447,32793.2632216567
2006,1,"All_areas",0,NA,NA
2007,1,"All_areas",131812.582702532,0.207812877656271,27392.3521227185
2008,1,"All_areas",0,NA,NA
2009,1,"All_areas",73863.182121122,0.213158009321033,15744.5288630553
2010,1,"All_areas",0,NA,NA
2011,1,"All_areas",97047.2769867408,0.255485586645878,24794.1804933424
2012,1,"All_areas",0,NA,NA
2013,1,"All_areas",162460.146821825,0.25740743918453,41818.4503629488
2014,1,"All_areas",0,NA,NA
2015,1,"All_areas",76595.0437684073,0.247866973154106,18985.3816574814
2016,1,"All_areas",0,NA,NA
2017,1,"All_areas",138900.249126413,0.248862527872659,34567.0671197412
